step,value_estimate,in_cooldown,forced_action
24800,0.5746893882751465,False,False
24880,0.7514990568161011,False,False
24960,0.22991842031478882,False,False
25040,0.6677778959274292,False,False
25120,0.7514990568161011,False,False
25200,0.6709002256393433,False,False
25280,0.6709004044532776,False,False
25360,0.672146737575531,False,False
25440,1.0534754991531372,False,False
25520,0.6709011197090149,False,False
25600,1.053493618965149,False,False
25680,0.6757301688194275,False,False
25760,1.0656334161758423,False,False
25840,0.9980644583702087,False,False
25920,1.356134057044983,False,False
26000,1.3564475774765015,False,False
26080,1.6907707452774048,False,False
26160,1.6906929016113281,False,False
26240,1.6907707452774048,False,False
26320,0.9509539604187012,False,False
26400,0.9426655173301697,False,False
26480,1.6907707452774048,False,False
26560,1.2264666557312012,False,False
26640,1.2264670133590698,False,False
26720,1.5326296091079712,False,False
26800,0.7302722930908203,False,False
26880,1.53072988986969,False,False
26960,1.6907707452774048,False,False
27040,1.3533378839492798,False,False
27120,1.8618683815002441,False,False
27200,2.2495803833007812,False,False
27280,1.6907707452774048,False,False
27360,0.951269805431366,False,False
27440,2.190910577774048,False,False
27520,2.249577283859253,False,False
27600,1.6907707452774048,False,False
27680,0.950181782245636,False,False
27760,2.2495806217193604,False,False
27840,2.2495806217193604,False,False
27920,2.2495806217193604,False,False
28000,2.2495806217193604,False,False
28080,1.6196495294570923,False,False
28160,0.3149305582046509,False,False
28240,0.9501183032989502,False,False
28320,-0.17235125601291656,False,False
28400,1.0142792463302612,False,False
28480,1.5928668975830078,False,False
28560,2.2495806217193604,False,False
28640,1.0503113269805908,False,False
28720,1.4126179218292236,False,False
28800,1.0732263326644897,False,False
28880,2.2495806217193604,False,False
28960,1.5871737003326416,False,False
29040,1.1622602939605713,False,False
29120,1.5871737003326416,False,False
29200,2.2495806217193604,False,False
29280,0.4578435719013214,False,False
29360,1.0380855798721313,False,False
29440,2.249579906463623,False,False
29520,1.5871737003326416,False,False
29600,1.2041422128677368,False,False
29680,1.381118655204773,False,False
29760,-0.4381599426269531,False,False
29840,-0.08671572804450989,False,False
29920,-0.04165835678577423,False,False
30000,1.2914901971817017,False,False
30080,-0.3872353434562683,False,False
30160,1.5870929956436157,False,False
30240,0.765879213809967,False,False
30320,1.0380855798721313,False,False
30400,1.260788917541504,False,False
30480,1.3811688423156738,False,False
30560,-0.04165969789028168,False,False
30640,-0.3872353434562683,False,False
30720,0.5708475708961487,False,False
30800,-0.4381599426269531,False,False
30880,-0.43724146485328674,False,False
30960,-0.3872353434562683,False,False
31040,-0.1191461980342865,False,False
31120,0.7303668260574341,False,False
31200,0.755450427532196,False,False
31280,0.15101704001426697,False,False
31360,0.09245096147060394,False,False
31440,-0.8362174034118652,False,False
31520,0.22810602188110352,False,False
31600,0.7514988780021667,False,False
31680,0.2800274193286896,False,False
31760,0.7185656428337097,False,False
31840,0.28002747893333435,False,False
31920,0.6464059352874756,False,False
32000,0.670832097530365,False,False
32080,0.6708167195320129,False,False
32160,0.670900285243988,False,False
32240,0.6709004044532776,False,False
32320,0.4838644862174988,False,False
32400,0.6594986319541931,False,False
32480,0.670852541923523,False,False
32560,0.6708969473838806,False,False
32640,0.670900285243988,False,False
32720,0.6709004044532776,False,False
32800,1.8927357196807861,False,False
32880,1.8927357196807861,False,False
32960,1.8927357196807861,False,False
33040,1.8927357196807861,False,False
33120,1.8927357196807861,False,False
33200,1.8927373886108398,False,False
33280,1.8929131031036377,False,False
33360,1.926903486251831,False,False
33440,2.494931221008301,False,False
33520,3.0383479595184326,False,False
33600,3.4014062881469727,False,False
33680,3.279627799987793,False,False
33760,3.4023633003234863,False,False
33840,3.402332305908203,False,False
33920,3.4023637771606445,False,False
34000,3.4023637771606445,False,False
34080,3.4023637771606445,False,False
34160,3.4023637771606445,False,False
34240,3.4023637771606445,False,False
34320,3.4023637771606445,False,False
34400,3.4023637771606445,False,False
34480,3.40238094329834,False,False
34560,3.4023637771606445,False,False
34640,4.013704299926758,False,False
34720,4.013702869415283,False,False
34800,4.013704299926758,False,False
34880,4.013704299926758,False,False
34960,4.013704299926758,False,False
35040,4.013704299926758,False,False
35120,4.013704299926758,False,False
35200,4.013704299926758,False,False
35280,4.013704299926758,False,False
35360,4.013704299926758,False,False
35440,4.013704299926758,False,False
35520,4.013704299926758,False,False
35600,4.013704299926758,False,False
35680,4.013704299926758,False,False
35760,4.013704299926758,False,False
35840,4.013704299926758,False,False
35920,4.013704299926758,False,False
36000,4.013704299926758,False,False
36080,4.013704299926758,False,False
36160,4.013704299926758,False,False
36240,4.013704299926758,False,False
36320,4.013704299926758,False,False
36400,4.013704299926758,False,False
36480,4.013704299926758,False,False
36560,4.013704299926758,False,False
36640,4.013704299926758,False,False
36720,4.013704299926758,False,False
36800,4.013704299926758,False,False
36880,3.3222622871398926,False,False
36960,4.013704299926758,False,False
37040,3.1128673553466797,False,False
37120,3.1128673553466797,False,False
37200,4.0137038230896,False,False
37280,3.1128673553466797,False,False
37360,3.7656705379486084,False,False
37440,4.013669013977051,False,False
37520,1.3070142269134521,False,False
37600,1.4806811809539795,False,False
37680,1.8924691677093506,False,False
37760,1.7175674438476562,False,False
37840,0.8479074835777283,False,False
37920,1.502030372619629,False,False
38000,1.8927357196807861,False,False
38080,1.7175557613372803,False,False
