ArticleKey,SentimentScore,SentimentConfidence,SentimentProvider,SentimentModel,CachedAtUTC
6c98e95e0bbf4ae050b6d9cb3b07228707f50dbf8cf9c576892af6224aaead0c,-0.06060606060606061,0.303030303030303,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.356776+00:00
6e28f870147d9eee87dc60c4fc99edaa2be72c17ffdc458aeceb478f2153c6a2,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.357982+00:00
b8d3e9db9af162e422b3aea54bea1781f2134f83a35e7969a3f218157783d08b,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.358666+00:00
9050e4554bbfa50197fda0996f40bf13f71aa6b3b4ebe8240e6876d9b976d405,-0.02564102564102564,0.1282051282051282,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.359270+00:00
680348f1502916523c2c710626175a6f3be5672a39c347b611a8b882e3ed5ec9,0.014492753623188406,0.07246376811594203,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.359830+00:00
f8d7915ee99abcb7127d8e027533fe5cd44cc9274d3d86944aade7424252e83b,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.360336+00:00
ff488ac8211ae836b24e792aba7cc805921a479e304b61b1e810bbbb5c2d5a63,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.360843+00:00
43b70340a1511b260c9e22a6f3cff7d4a4f90f6a1eadca91702fc3c14304c6d7,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.361387+00:00
097c493267814ebb85deab32f37cadf7843b30bcac3dbd731c6cb19e4de01520,0.02857142857142857,0.14285714285714285,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.361897+00:00
ddca7f5c08588df68342b3a56826d8e09321a41654ef018c17fc50fadb329026,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.362396+00:00
056d26729b24acae5baecb98c27abde8a229afaff0b49ea0589390f30d881e47,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.631079+00:00
88877cb813d548afd560c17efdc072d23fa81cbc2d0f89e05af6a03e7a827998,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.632543+00:00
5fb1983fbc3507525db0a72ea701acb2f608e0371da605660ee7a24b84a60a5e,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.633411+00:00
7287d21efce5925503ea9325cfa8430c1790ce0553e81c1f5551442cb10a3b41,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.634136+00:00
3aecd5e132ef1cdf4d258a84568eaee2b8fa9a73c7e1e6c0a4d3763560dd9462,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.634924+00:00
f60963a8672c4a6c0fe16e1f603478e58cc1057414154083fa09ab10765aa075,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.635624+00:00
8e384c5c1f0aee1329e7e0ecfcd3aba6e663d38d041bf231f94bfd7b0c089bdf,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.636299+00:00
63e547ac691784dca0b615ba9f68d9ab98fe53f904ec923d1fc5016fde41e971,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.636900+00:00
de7c2804b97646bbf7e621fdfb51c0b9203131e4eb031e2ddc8b368e1a19060e,0.0,0.0,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.637492+00:00
df239aafb8ea68e7e967283cfdaa3082d94e9d4b9abdbe0e158ee891f18df2c2,0.0,0.1075268817204301,heuristic-fallback,lexicon-v1,2026-03-30T05:04:01.638060+00:00
